Education Level,Job Title,Years of Experience,Salary
Bachelor,Software Engineer,4,70000
Master,Marketing Director,14,190000
Master,Content Marketing Manager,4,80000
PhD,Software Engineer Manager,23,161568
Bachelor,Front end Developer,5,105000
Bachelor,Junior Software Engineer,1,45000
Bachelor,Human Resources Manager,9,99000
Bachelor,Financial Manager,16,215000
Bachelor,Junior Software Developer,2,35000
Bachelor,Product Designer,2,55000
Bachelor,Graphic Designer,2,50000
Bachelor,Junior Software Engineer,2,48000
Bachelor,Front end Developer,12,137878
Bachelor,Junior Web Developer,2,45000
PhD,Software Engineer Manager,18,210000
Bachelor,Software Engineer,1,60000
PhD,Software Engineer Manager,33,191790
Bachelor,Marketing Coordinator,4,57000
Master,Senior Software Engineer,9,145000
Master,Junior Data Scientist,1,45000
Bachelor,Data Analyst,1,90000
Master,Content Marketing Manager,4,80000
High School,Sales Associate,1,30000
PhD,Director of Data Science,16,200000
High School,Junior HR Generalist,1,32000
Bachelor,Financial Manager,16,200000
Bachelor,Marketing Manager,3,65000
High School,Financial Manager,3,45000
PhD,Senior Project Engineer,19,200000
Bachelor,Software Developer,2,60000
Bachelor,Junior Software Developer,1,35000
High School,Sales Associate,1,30000
Bachelor,Software Developer,3,62000
Bachelor,Full Stack Engineer,7,130000
Bachelor,Software Engineer,3,85000
PhD,Director of Marketing,19,190000
Bachelor,Sales Manager,11,160000
High School,Junior HR Coordinator,3,38000
Bachelor,Data Entry Clerk,0,35000
Master,Marketing Manager,7,110000
Bachelor,Software Engineer,5,90000
PhD,Senior Project Engineer,19,200000
Master,Full Stack Engineer,6,130000
Master,Marketing Manager,7,110000
Bachelor,Operations Manager,7,85000
Bachelor,Full Stack Engineer,25,179756
Bachelor,Software Developer,3,60000
PhD,Data Scientist,5,180000
Bachelor,Sales Manager,11,160000
Master,Front end Developer,9,121120
Bachelor,Junior Product Manager,2,40000
PhD,Research Director,11,160000
PhD,Software Engineer Manager,14,190000
Bachelor,Junior Software Developer,2,36000
Bachelor,Marketing Coordinator,5,90000
PhD,Data Scientist,7,185000
PhD,Senior Software Engineer,12,160000
PhD,Research Director,11,160000
Bachelor,Front end Developer,1,55000
Master,Product Manager,14,180000
Master,Full Stack Engineer,4,102859
Master,Financial Manager,8,120000
High School,Junior Sales Associate,1,25000
Bachelor,Senior Product Marketing Manager,5,85000
PhD,Data Scientist,15,150000
Bachelor,Product Manager,7,110000
Master,Marketing Manager,20,204000
Master,Software Engineer Manager,12,160000
Master,Product Manager,11,198000
Bachelor,Product Manager,7,120000
PhD,Senior Research Scientist,10,130000
Bachelor,Marketing Manager,3,65000
Bachelor,Software Engineer,4,140000
Bachelor,Software Engineer,4,160000
Bachelor,Front end Developer,2,75000
Bachelor,Software Developer,3,60000
PhD,Senior Software Engineer,14,170000
Master,Marketing Manager,10,110000
Bachelor,Data Analyst,2,100000
Bachelor,Software Engineer,8,190000
PhD,Senior Data Scientist,12,170000
Bachelor,Marketing Coordinator,4,57000
PhD,Senior Project Engineer,17,195000
PhD,Director of Marketing,12,170000
Bachelor,Back end Developer,8,100679
PhD,Software Engineer Manager,17,195000
Bachelor,Marketing Manager,12,120000
PhD,Data Scientist,16,160000
Master,Senior Human Resources Manager,6,80000
Bachelor,Software Engineer,8,190000
High School,Sales Associate,1,30000
Bachelor,Front end Developer,3,80000
Bachelor,Software Engineer Manager,11,170000
Bachelor,Web Developer,4,65000
Bachelor,Senior HR Generalist,8,95000
Bachelor,Operations Manager,10,113000
PhD,Research Scientist,12,170000
Master,Senior Project Engineer,7,135000
Bachelor,Marketing Manager,7,110000
Master,Data Scientist,6,180000
Master,Senior Data Scientist,8,120000
Master,Data Scientist,6,180000
Bachelor,Senior Software Engineer,20,154281
Bachelor,Back end Developer,5,100000
PhD,Data Scientist,16,160000
Bachelor,Software Engineer,1,50000
Bachelor,Product Manager,8,185000
Master,Financial Analyst,6,100000
High School,Sales Associate,3,50000
Master,Senior Software Engineer,23,185038
Bachelor,Back end Developer,23,175966
Bachelor,Data Analyst,7,130000
PhD,Senior Project Engineer,16,185000
Master,Senior Human Resources Specialist,13,120000
PhD,Software Engineer Manager,17,195000
PhD,Research Director,11,160000
Bachelor,Data Analyst,3,130000
PhD,Senior Project Engineer,19,200000
Bachelor,Front end Developer,3,80000
Master,Product Manager,11,198000
Bachelor,Senior Project Engineer,22,171036
Master,Senior Software Engineer,27,190004
High School,Digital Marketing Manager,2,40000
Bachelor,Full Stack Engineer,6,115000
Bachelor,Junior Web Designer,3,45000
Master,Director of Operations,20,170000
Bachelor,Financial Manager,16,200000
Bachelor,Front end Developer,1,55000
Master,Human Resources Manager,15,152000
Bachelor,Full Stack Engineer,25,179987
Bachelor,Sales Director,9,140000
Master,Sales Manager,13,130000
Bachelor,Software Engineer,2,65000
Bachelor,Operations Manager,11,119000
Bachelor,Back end Developer,5,100000
Bachelor,Data Analyst,3,130000
PhD,Senior Project Engineer,14,190000
PhD,Sales Director,10,155000
Master,Senior Software Engineer,14,135853
PhD,Senior Project Engineer,16,185000
Master,Content Marketing Manager,19,190000
PhD,Software Engineer Manager,23,161568
Master,Full Stack Engineer,4,110000
Bachelor,Software Engineer,3,85000
PhD,Senior Data Engineer,16,160000
PhD,Director of Data Science,16,200000
Bachelor,Software Engineer,4,71000
High School,Sales Executive,1,35000
PhD,Full Stack Engineer,5,98568
Bachelor,Software Engineer,5,160000
Bachelor,Product Designer,3,60000
Master,Product Manager,11,195000
Bachelor,Marketing Coordinator,4,65000
Bachelor,Junior Marketing Manager,6,72000
Bachelor,Software Engineer Manager,8,135000
Bachelor,Junior Web Developer,2,45000
PhD,Senior Product Marketing Manager,17,170000
Bachelor,Operations Manager,8,101000
Bachelor,Sales Representative,1,35000
High School,Sales Executive,1,35000
Master,Full Stack Engineer,4,110000
Master,Senior Software Engineer,7,100000
Master,Marketing Manager,9,135000
Bachelor,Software Engineer,8,190000
PhD,Software Engineer Manager,14,190000
PhD,Senior Project Engineer,16,190000
PhD,Data Scientist,15,157000
PhD,Data Scientist,2,115000
PhD,Data Scientist,15,157000
Master,Financial Manager,7,120000
Bachelor,Operations Manager,6,75000
Bachelor,Software Engineer,3,80000
PhD,Research Scientist,13,185000
High School,Receptionist,0,25000
Bachelor,Data Analyst,2,95000
PhD,Marketing Manager,8,80000
Master,Marketing Coordinator,8,85000
Bachelor,Data Analyst,1,95000
PhD,Software Engineer Manager,18,195000
Bachelor,Software Engineer,5,90000
PhD,Research Director,11,160000
Bachelor,Front end Developer,2,70000
Bachelor,Back end Developer,19,150248
Bachelor,Marketing Analyst,4,70000
Bachelor,Web Developer,3,60000
Bachelor,Customer Service Representative,5,45000
PhD,Senior Project Engineer,16,190000
Bachelor,Sales Director,5,70000
Bachelor,Software Engineer,1,50000
Bachelor,Junior Marketing Manager,3,55000
Bachelor,Human Resources Manager,6,75000
Master,Financial Manager,8,120000
PhD,Data Scientist,7,185000
PhD,Software Engineer Manager,14,185000
Master,Senior Software Engineer,11,160000
Master,Marketing Manager,13,130000
Bachelor,Front end Developer,11,136062
Bachelor,Junior Web Developer,2,45000
Bachelor,Sales Manager,11,160000
Master,Data Analyst,9,120000
PhD,Data Scientist,16,160000
High School,Junior Sales Representative,0,25000
Master,Full Stack Engineer,33,188232
Bachelor,Product Manager,12,150000
Bachelor,Software Engineer,3,70000
PhD,Data Scientist,8,140000
Bachelor,Product Manager,7,120000
Master,Content Marketing Manager,4,80000
Bachelor,Software Engineer,5,150000
Bachelor,Software Engineer,4,140000
Bachelor,Director of Marketing,8,80000
PhD,Data Scientist,13,140000
Bachelor,Data Analyst,9,195000
Master,Senior Product Marketing Manager,19,190000
Bachelor,Marketing Coordinator,5,95000
PhD,Senior Project Engineer,12,165000
Bachelor,Front end Developer,6,110000
PhD,Research Director,10,150000
Master,Senior Software Engineer,8,105000
Master,Product Manager,5,100000
High School,Junior HR Generalist,1,32000
Bachelor,Full Stack Engineer,6,115000
Bachelor,Data Analyst,5,140000
Master,Product Manager,14,180000
Master,Senior Project Engineer,6,125000
PhD,Data Scientist,12,130000
PhD,Data Scientist,22,219000
Master,Financial Manager,7,120000
Bachelor,Sales Representative,0,30000
PhD,Marketing Manager,4,55000
Master,Marketing Manager,11,117000
Bachelor,Marketing Analyst,2,50000
High School,Junior Sales Associate,1,25000
Bachelor,Marketing Coordinator,4,65000
PhD,Data Scientist,22,220000
PhD,Software Engineer Manager,29,190543
PhD,Data Scientist,2,115000
High School,Sales Associate,1,35000
Bachelor,Full Stack Engineer,6,115000
PhD,Research Director,12,170000
Master,Full Stack Engineer,7,135000
Bachelor,Junior Marketing Manager,5,70000
PhD,Senior Project Engineer,13,185000
PhD,Research Director,12,170000
High School,Junior HR Generalist,2,35000
Master,Data Analyst,8,100000
PhD,Data Scientist,7,185000
Bachelor,Data Analyst,5,145000
High School,Receptionist,0,25000
Master,Senior Marketing Manager,13,110000
Bachelor,Software Engineer,3,80000
High School,Front end Developer,1,47898
Bachelor,Financial Manager,16,200000
PhD,Software Engineer Manager,17,195000
Bachelor,Human Resources Manager,6,75000
Bachelor,Marketing Analyst,3,65000
Bachelor,Sales Representative,1,35000
Bachelor,Software Engineer,3,70000
Master,Data Analyst,8,100000
Bachelor,Junior Software Developer,1,35000
Bachelor,Data Analyst,5,125000
PhD,Director of Data Science,20,220000
PhD,Research Scientist,12,170000
Bachelor,Data Analyst,3,130000
Bachelor,Back end Developer,5,100000
Bachelor,Operations Manager,11,119000
Bachelor,Software Engineer,8,190000
Master,Marketing Director,11,160000
Master,Product Manager,2,120000
Bachelor,Full Stack Engineer,7,130000
Bachelor,Product Designer,2,55000
Bachelor,Data Analyst,9,162000
Master,Marketing Coordinator,8,85000
Bachelor,Operations Manager,7,85000
Bachelor,Digital Marketing Specialist,3,60000
Bachelor,Data Analyst,9,195000
Bachelor,Software Engineer,3,70000
Master,Marketing Manager,20,204000
Bachelor,Front end Developer,2,65000
PhD,Senior Human Resources Manager,7,90000
Master,Marketing Director,14,190000
PhD,Research Director,11,160000
High School,Junior Sales Associate,1,26000
Bachelor,Front end Developer,2,70000
PhD,Senior Project Engineer,16,185000
Master,Data Scientist,6,180000
Bachelor,Sales Manager,1,35000
PhD,Data Scientist,7,170000
Master,Marketing Manager,9,130000
Bachelor,Customer Service Manager,11,80000
PhD,Senior Project Engineer,13,185000
Bachelor,Software Engineer,4,75000
Bachelor,Junior HR Generalist,7,65000
Master,Marketing Manager,9,130000
Bachelor,Software Engineer,5,150000
Bachelor,Senior IT Support Specialist,14,110000
Bachelor,Software Engineer,5,90000
Bachelor,Operations Manager,7,96000
Master,Web Developer,6,80000
Bachelor,Software Engineer,7,180000
High School,Junior Sales Associate,1,26000
Master,Data Scientist,9,140000
Master,Full Stack Engineer,4,91062
Bachelor,Financial Manager,16,200000
Bachelor,Senior Business Analyst,10,110000
Bachelor,Data Analyst,2,110000
Master,Front end Developer,3,73640
PhD,Data Scientist,24,240000
Bachelor,Junior Software Engineer,1,55000
Master,Full Stack Engineer,13,146508
Master,Marketing Coordinator,12,122000
PhD,Data Scientist,13,140000
Master,Senior HR Generalist,4,70000
Bachelor,Software Developer,2,55000
Bachelor,Product Designer,2,55000
Master,Full Stack Engineer,6,110707
Bachelor,Marketing Manager,3,65000
Bachelor,Front end Developer,2,70000
Bachelor,Financial Manager,13,130000
Bachelor,Data Analyst,5,135000
Bachelor,Software Engineer,1,50000
Master,Marketing Manager,14,170000
PhD,Research Scientist,13,185000
PhD,Sales Representative,4,55000
PhD,Software Engineer Manager,17,195000
High School,Sales Executive,1,35000
Master,Director of HR,6,95000
Bachelor,Sales Executive,1,35000
PhD,Data Scientist,22,219000
Bachelor,Junior Data Analyst,2,50000
Bachelor,Product Manager,1,60000
Bachelor,Data Analyst,2,100000
PhD,Senior Project Engineer,15,180000
Bachelor,Software Engineer,4,65000
Master,Marketing Manager,11,120000
PhD,Senior Product Marketing Manager,9,95000
Bachelor,Software Engineer,5,150000
Master,Senior HR Generalist,4,70000
PhD,Senior Research Scientist,10,130000
PhD,Data Scientist,9,145000
Master,Director of Marketing,16,160000
High School,Junior Sales Associate,2,31000
Bachelor,Software Developer,6,85000
Master,Back end Developer,2,70000
High School,Sales Associate,1,30000
Master,Marketing Director,14,190000
Bachelor,Financial Manager,16,200000
Master,Data Analyst,8,100000
Bachelor,Marketing Manager,9,130000
Master,Senior Software Engineer,10,155000
Master,Junior HR Generalist,1,32000
PhD,Software Engineer Manager,14,180000
Bachelor,Senior Marketing Specialist,8,95000
PhD,Senior Human Resources Manager,11,115000
Bachelor,Web Developer,3,55000
PhD,Director of Data Science,16,200000
Master,Marketing Manager,11,117000
Bachelor,Software Engineer,1,50000
Bachelor,Software Engineer,3,80000
PhD,Sales Director,10,155000
Master,Marketing Manager,3,60000
Bachelor,Software Engineer,4,140000
Bachelor,Junior Software Engineer,1,45000
Master,Marketing Coordinator,11,120000
High School,Back end Developer,7,95845
PhD,Senior Project Engineer,16,185000
PhD,Research Scientist,10,150000
Bachelor,Operations Manager,6,75000
Bachelor,Junior Financial Analyst,3,50000
PhD,Software Engineer Manager,17,195000
Bachelor,Front end Developer,1,55000
PhD,Marketing Manager,4,55000
Bachelor,Marketing Coordinator,4,58000
Bachelor,Software Engineer,5,160000
Bachelor,Software Developer,5,80000
High School,Sales Associate,1,30000
PhD,Senior Data Engineer,16,150000
Master,Data Scientist,6,180000
Bachelor,Operations Manager,6,90000
Bachelor,Software Engineer,1,52000
Master,Full Stack Engineer,6,115000
Bachelor,Marketing Coordinator,4,65000
Bachelor,Junior Software Engineer,1,45000
Bachelor,Software Engineer,12,195000
PhD,Data Scientist,9,145000
Bachelor,Graphic Designer,2,50000
High School,Sales Executive,1,35000
PhD,Director of Marketing,12,170000
Bachelor,Software Engineer,4,75000
Master,Full Stack Engineer,4,90944
Bachelor,Product Designer,2,55000
Bachelor,Back end Developer,4,95000
Bachelor,Back end Developer,25,168287
Master,Full Stack Engineer,19,177347
High School,Receptionist,0,25000
Bachelor,Software Engineer,4,75000
Master,Human Resources Coordinator,3,50000
High School,Junior Sales Associate,2,35000
PhD,Data Scientist,9,195000
PhD,Software Engineer Manager,16,185000
Bachelor,Financial Manager,4,55000
Bachelor,Software Engineer,5,160000
Bachelor,Marketing Coordinator,4,57000
Bachelor,Senior Project Engineer,22,171468
Bachelor,Junior Web Developer,1,40000
Master,Product Manager,14,180000
PhD,Director of Data Science,18,210000
Bachelor,Director of Marketing,8,80000
Master,Senior Project Engineer,5,106278
Bachelor,Sales Executive,21,160000
PhD,Software Engineer Manager,16,185000
PhD,Software Engineer Manager,14,180000
Bachelor,Operations Manager,7,96000
Bachelor,Junior Business Operations Analyst,1,350
PhD,Software Engineer Manager,1,106686
PhD,Software Engineer Manager,28,188484
Master,Product Manager,11,198000
Master,Senior Software Engineer,6,114290
Bachelor,Marketing Manager,3,65000
Master,Data Analyst,8,100000
Master,Senior HR Generalist,7,89000
Bachelor,Marketing Analyst,4,70000
PhD,Data Scientist,8,140000
Master,Human Resources Coordinator,3,49000
Bachelor,Back end Developer,1,60000
Bachelor,Data Analyst,7,130000
Master,Data Scientist,9,140000
Bachelor,Full Stack Engineer,7,130000
Bachelor,Data Analyst,3,130000
Bachelor,Data Analyst,3,130000
Bachelor,Senior Software Engineer,20,150534
PhD,Senior Data Scientist,16,200000
PhD,Data Scientist,16,160000
Bachelor,Data Analyst,5,145000
Bachelor,Front end Developer,2,65000
PhD,Software Engineer Manager,14,180000
High School,Junior Sales Associate,1,25000
Bachelor,Full Stack Engineer,5,84407
Bachelor,Sales Manager,4,80000
Master,Human Resources Coordinator,3,50000
Bachelor,Software Developer,2,60000
Bachelor,Product Manager,7,120000
PhD,Research Scientist,13,180000
Bachelor,Junior Data Analyst,3,52000
PhD,Marketing Coordinator,7,120000
